UserID,total_courses,unique_categories,enrollment_span_days,preferred_category,preferred_level,avg_rating_enrolled,total_spending,avg_spending,diversity_score,Beginner_count,Intermediate_count,Advanced_count,learning_depth_index,Age,Gender,preferred_category_enc,preferred_level_enc,gender_enc
U0001,9,6,587,AI/ML,Advanced,3.8966666666666665,846.89,94.0988888888889,0.6666666665925925,3,3,3,0.3333333332962963,46,Male,0,0,1
U0002,18,6,673,Cybersecurity,Advanced,3.8527777777777774,1126.92,62.60666666666667,0.3333333333148148,6,5,7,0.3888888888672839,32,Male,3,0,1
U0003,0,0,0,Unknown,Unknown,0.0,0.0,0.0,0.0,0,0,0,0.0,25,Female,6,3,0
U0004,12,6,573,Cloud Computing,Intermediate,4.2,573.4,47.78333333333333,0.4999999999583333,3,5,4,0.3333333333055555,38,Female,2,2,0
U0005,10,7,506,AI/ML,Beginner,3.799,572.8,57.28,0.69999999993,5,2,3,0.29999999997,36,Other,0,1,2
U0006,5,4,200,Data Science,Intermediate,4.220000000000001,385.5,77.1,0.79999999984,2,3,0,0.0,40,Female,4,2,0
U0007,3,2,225,Design,Beginner,4.403333333333333,86.15,28.71666666666667,0.6666666664444444,2,1,0,0.0,28,Male,5,1,1
U0008,3,2,578,AI/ML,Beginner,3.733333333333334,95.23,31.743333333333336,0.6666666664444444,2,1,0,0.0,28,Male,0,1,1
U0009,11,6,687,AI/ML,Beginner,3.927272727272728,1106.57,100.59727272727272,0.5454545454049586,5,4,2,0.1818181818016528,41,Female,0,1,0
U0010,19,6,662,AI/ML,Beginner,3.8378947368421055,1264.63,66.55947368421052,0.31578947366759,7,6,6,0.31578947366759,53,Female,0,1,0
U0011,5,4,654,Cybersecurity,Beginner,3.858,415.97,83.194,0.79999999984,2,2,1,0.19999999996,41,Male,3,1,1
U0012,6,4,635,AI/ML,Advanced,4.135,519.6700000000001,86.61166666666668,0.6666666665555555,1,2,3,0.4999999999166666,20,Female,0,0,0
U0013,2,2,247,AI/ML,Advanced,3.985,246.02,123.01,0.9999999995,1,0,1,0.49999999975,39,Male,0,0,1
U0014,5,4,385,Web Developmen,Intermediate,4.037999999999999,361.14,72.228,0.79999999984,1,4,0,0.0,19,Female,7,2,0
